anomaly_ratio_bin,algorithm,auroc,auprc,vus_roc,vus_pr,vus_roc_approx,vus_pr_approx,runtime_sec,n,feature,length_bin,mean_anomaly_duration_bin,seasonality_proxy_bin,noise_proxy_bin
,rolling_zscore,0.45881940438101115,0.10274802424332544,0.4869614713234925,0.1093708944675356,0.4616088733346609,0.11824902623014148,0.6919338437262923,20,mean_anomaly_duration,,high,,
,ik_density,0.5951573906997991,0.14701318311792208,0.6568966186502688,0.35087542944536654,0.5819981813975998,0.38163084146192205,6.348116306285374,20,seasonality_proxy,,,low,
,isolation_forest,0.695306832346205,0.23099571224557702,0.7542927924974492,0.4271657415023772,0.6806434203053534,0.46109286714777314,0.7052246292354539,20,seasonality_proxy,,,low,
,knn,0.7289584060148563,0.26533652560644577,0.7864555811273373,0.47272281213093625,0.7135474660785761,0.506934461500418,0.7599753291346133,20,seasonality_proxy,,,low,
,lof,0.6545966868524088,0.19279549066554763,0.7135545391098217,0.3976442706767328,0.6539712760310821,0.4234050032346882,0.8087517916923389,20,seasonality_proxy,,,low,
,matrix_profile,0.5548752109867734,0.14571388004317792,0.6436153196545582,0.33840239274017875,0.5677955131562056,0.370863040206466,1.8453042624983937,20,seasonality_proxy,,,low,
,rolling_zscore,0.6693400560517123,0.3085341015561208,0.7103841795704321,0.32188661709434374,0.5415012174972861,0.29654651932945986,0.3362117894925177,20,seasonality_proxy,,,low,
,ik_density,0.684543261193925,0.17905217907002932,0.7002350793138904,0.27027146269314317,0.6785444739456745,0.34323218150857987,9.946092520933599,20,seasonality_proxy,,,medium,
,isolation_forest,0.6994198040177821,0.25708084628291616,0.7038737150204837,0.3191589744266611,0.6920101200115966,0.37608230602448556,0.7860743623925373,20,seasonality_proxy,,,medium,
,knn,0.8442213281152371,0.2941815287455009,0.8497532688756024,0.4112649934343661,0.8502555669245109,0.5258817275766146,1.5950858145253732,20,seasonality_proxy,,,medium,
,lof,0.7636220059977022,0.21714746890331052,0.8229836200749879,0.34604920505973885,0.7902617281679376,0.41295072159478147,1.6291752833873034,20,seasonality_proxy,,,medium,
,matrix_profile,0.6021746334565456,0.19227375991607823,0.6851698262768746,0.27656804541707597,0.6498214319345049,0.3487379626524024,1.0933722168439999,20,seasonality_proxy,,,medium,
,rolling_zscore,0.5040114860494381,0.097977288355644,0.6269365496476573,0.10553557141926276,0.45297832990724285,0.11221314045706424,0.5239582500187681,20,seasonality_proxy,,,medium,
,ik_density,0.6180726765015748,0.2528499362105811,0.6986923930945951,0.4129205527600794,0.6591253722808676,0.4217717827484114,8.675303626968525,20,seasonality_proxy,,,high,
,isolation_forest,0.679112725856407,0.27591073576951053,0.7302151410325399,0.4076380616936124,0.7054622233905401,0.42570733079923057,0.7771441251505167,20,seasonality_proxy,,,high,
,knn,0.6174095410584692,0.23077945452724197,0.6648450703786433,0.4058968961161928,0.6548725306193157,0.43256996482883725,1.375319187506102,20,seasonality_proxy,,,high,
,lof,0.6352161327765256,0.2625498628189799,0.7028760315914699,0.42624215343291605,0.667442725802815,0.44074470768482427,1.4261319395387546,20,seasonality_proxy,,,high,
,matrix_profile,0.6170133622553248,0.22276250613937426,0.6741663475557337,0.40299872015230703,0.6452317464546338,0.41692109169176,0.875394458300434,20,seasonality_proxy,,,high,
,rolling_zscore,0.5455599216016123,0.2318689349385829,0.6064624675098385,0.25958459305688375,0.47459971430370657,0.24301089672444642,0.5536280478583648,20,seasonality_proxy,,,high,
,ik_density,0.5658406428788075,0.16633635714433917,0.5930266434048084,0.21625283396540323,0.574998413893838,0.2534124277132973,6.606184266507626,20,noise_proxy,,,,low
,isolation_forest,0.6786473335511537,0.26900673391551944,0.6837125309113936,0.2984294120112215,0.6663224270233199,0.33685920882936005,0.7228517812443898,20,noise_proxy,,,,low
,knn,0.7478657340528787,0.29245122813323926,0.7460777834251067,0.35865122107995795,0.7396602888649397,0.4180893706313126,0.896436420828104,20,noise_proxy,,,,low
,lof,0.6171752842778404,0.19528875634922893,0.6505862821484644,0.26166851481874265,0.6306364282856417,0.2940559857369733,0.9404282708885148,20,noise_proxy,,,,low
